path	bytes	sha256
404.html	3392	d072b6755af48f2451912fc3c54abebc449ba3c28bbc84be8b9da9def7497e36
about/index.html	14100	aba12c97cafecc617d3b34b205b537694d1b9811182929935ca24318dded5e79
articles/how-to-choose-teak-flooring.html	11984	df55e3ee8319644e5376642ff71ad9a2dcaf4d5531efbd807b601c3f6e1fb838
articles/index.html	10382	7e2c1d1496f7299f96ba1dacc528174acd5acdbc6a0d981df1b5ce026ac76430
articles/teak-outdoor-furniture-care.html	11873	a210844b5be8c2d50af91dbaadfe4277d2276f449e9340850418dd1c676ffec9
articles/teak-vendor-selection.html	11803	4af03763906d24cf8664ee9cf9eb792193fb39d0ef097d00eaac4e4e784318ba
articles/teak-vs-common-wood.html	11841	a7a04a26fb8d19dc34fe329323aad32a443ce67d47534174def08a97f05524e6
articles/teak-whole-decoration-guide.html	11745	e9f920521ab0058e7635433b612e8e67387d5a0f2bbdabfa22fde3fd31355ca0
articles/what-is-teak.html	12262	c2f73455b540d04d5476288f4793e8a94b73bfff40ee36d2de5984237ca535f1
assets/favicon.svg	1124	46bdd3da93294450e3b9e813dc98c861bd6d017258ef2562890cd7e7b4a4402b
assets/images/hero-teak-lifestyle.jpg	646115	d47ba98d42500365d49870fe7d20b18339b2ffad737bf0bdbcec69318cb1f6fa
assets/images/knowledge-outdoor-wood.jpg	585136	1360e7b020e616a0962a4afbae23eb64b9172fcc06559e577b95076afe3f0aef
assets/images/knowledge-teak-grain.jpg	319197	e8e1936443775e30befef31b247b9228e99701d68b427c65910456f19dd8862f
assets/images/knowledge-teak-maintenance.jpg	243922	2a1e219ffb523468930c4937009de51d7d24502f3979b5d458d5ba0f4ae63fdb
assets/images/product-teak-chair.jpg	454704	b48997bfb0352c211f9128130977e8abc99709add77a6abb52a2ee8966aedf57
assets/images/product-teak-table.jpg	669325	a8f5c83bce18b0cf0f886c1531dde1e795d81834e0ee1c29a5f2e625e15edfdc
assets/images/vendor-craft-sample.jpg	126752	8c2bfcfda64793239dc8cf747b40f396172c1895b2ed3ad1f7bc90c0e1e3b41b
assets/images/vendor-showroom-sample.jpg	278356	07ef9ddb697879fe23620cd5d4efaddd94e23b2c6ea710310bfb5219b8080a7e
assets/images/vendor-workshop-sample.jpg	382601	3e0584ac078bcd7a8fe8c31c8f29b1f71b79d912f3fc24c07ccc208824cc3d6c
assets/images/wechat-section-bg.jpg	181524	8ce2eb0e29f41b0498574f9bd982d99480a6f4c7ff67b557780afd2f0a856250
