"path","title","pageType","heroImage","firstInlineImage","contentImageCount","imageCoverageBefore","weakReason","needsMainImage","needsInlineImage","plannedTheme","plannedAsset","sourceStrategy","plannedAction"
"articles/how-to-choose-teak-flooring.html","如何选择柚木地板","A_KNOWLEDGE_ARTICLE","NONE","NONE","0","NO_CONTENT_IMAGE","NONE","true","false","flooring","assets/images/article-teak-flooring-selection.jpg","NEW_NEUTRAL_EDITORIAL_ASSET","ADD_ACCESSIBLE_ARTICLE_COVER"
"articles/teak-outdoor-furniture-care.html","户外柚木家具维护","A_KNOWLEDGE_ARTICLE","NONE","NONE","0","NO_CONTENT_IMAGE","NONE","true","false","outdoor-care","assets/images/article-teak-outdoor-care.jpg","NEW_NEUTRAL_EDITORIAL_ASSET","ADD_ACCESSIBLE_ARTICLE_COVER"
"articles/teak-vendor-selection.html","厂商选择参考","A_KNOWLEDGE_ARTICLE","NONE","NONE","0","NO_CONTENT_IMAGE","NONE","true","false","joinery-craft","assets/images/article-teak-joinery-craft.jpg","NEW_NEUTRAL_EDITORIAL_ASSET","ADD_ACCESSIBLE_ARTICLE_COVER"
"articles/teak-vs-common-wood.html","柚木与常见木材","A_KNOWLEDGE_ARTICLE","NONE","NONE","0","NO_CONTENT_IMAGE","NONE","true","false","material-study","assets/images/article-teak-material-study.jpg","NEW_NEUTRAL_EDITORIAL_ASSET","ADD_ACCESSIBLE_ARTICLE_COVER"
"articles/teak-whole-decoration-guide.html","柚木整装指南","A_KNOWLEDGE_ARTICLE","NONE","NONE","0","NO_CONTENT_IMAGE","NONE","true","false","interior-space","assets/images/hero-teak-lifestyle.jpg","REUSE_VERIFIED_EXISTING_ASSET","ADD_ACCESSIBLE_ARTICLE_COVER"
"articles/what-is-teak.html","什么是柚木","A_KNOWLEDGE_ARTICLE","NONE","NONE","0","NO_CONTENT_IMAGE","NONE","true","false","material-study","assets/images/article-teak-material-study.jpg","NEW_NEUTRAL_EDITORIAL_ASSET","ADD_ACCESSIBLE_ARTICLE_COVER"
"cases/courtyard-teak-sample.html","庭院柚木空间灵感","B_AESTHETICS_SPACE","CSS_BACKGROUND_PRESENT","NONE","0","MAIN_VISUAL_PRESENT","NONE","false","false","outdoor-care","assets/images/article-teak-outdoor-care.jpg","NEW_NEUTRAL_EDITORIAL_ASSET","KEEP_EXISTING_VISUAL"
"cases/flooring-selection-sample.html","柚木地板选择灵感","B_AESTHETICS_SPACE","CSS_BACKGROUND_PRESENT","NONE","0","MAIN_VISUAL_PRESENT","NONE","false","false","flooring","assets/images/article-teak-flooring-selection.jpg","NEW_NEUTRAL_EDITORIAL_ASSET","KEEP_EXISTING_VISUAL"
"cases/tea-room-teak-sample.html","茶室柚木空间灵感","B_AESTHETICS_SPACE","CSS_BACKGROUND_PRESENT","NONE","0","MAIN_VISUAL_PRESENT","NONE","false","false","table-space","assets/images/product-teak-table.jpg","REUSE_VERIFIED_EXISTING_ASSET","KEEP_EXISTING_VISUAL"
"knowledge/teak-basics.html","柚木入门","E_FUNCTIONAL_EXPLAINER","NONE","NONE","0","NO_CONTENT_IMAGE","NONE","true","false","material-study","assets/images/article-teak-material-study.jpg","NEW_NEUTRAL_EDITORIAL_ASSET","ADD_ACCESSIBLE_ARTICLE_COVER"
"knowledge/teak-buying-guide.html","选购避坑","E_FUNCTIONAL_EXPLAINER","NONE","NONE","0","NO_CONTENT_IMAGE","NONE","true","false","material-study","assets/images/article-teak-material-study.jpg","NEW_NEUTRAL_EDITORIAL_ASSET","ADD_ACCESSIBLE_ARTICLE_COVER"
